event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Waterloo Ontario Open West Coast Swing Championships,Waterloo Ontario Open West Coast Swing Championships,Waterloo Ontario Open West Coast Swing Championships,2027-02-04,2027-02-07,http://www.waterlooopenwcs.com,2027,2,2027-02,day,wsdc_calendar,,94dd6b167f835a486ea3ebec
Trinity Swing,Trinity Swing,Trinity Swing,2027-02-05,2027-02-07,http://www.Trinityswing.com,2027,2,2027-02,day,wsdc_calendar,,1150c8d16a7c652d14f37329
Euro Dance Festival,Euro Dance Festival,Euro Dance Festival,2027-02-09,2027-02-14,https://www.euro-dance-festival.com,2027,2,2027-02,day,wsdc_calendar,,a4f568d45ef14d2c739e3f69
Capital Swing Convention,Capital Swing Convention,Capital Swing Dance Convention,2027-02-11,2027-02-14,http://www.capitalswingconvention.com,2027,2,2027-02,day,wsdc_calendar,,acbb3f4971f5ed55a4699a8c
Arousa Westie Fest,Arousa Westie Fest,Arousa Westie Fest,2027-02-18,2027-02-21,https://www.arousawestiefest.com,2027,2,2027-02,day,wsdc_calendar,,a6cf29c8f6b7b6f1bd2801ec
Swing Crush,Swing Crush,Swing Crush,2027-02-18,2027-02-22,https://swingcrush.com/,2027,2,2027-02,day,wsdc_calendar,,00ed3769889c16f69af8e633
Prague Alchemy Swing,Prague Alchemy Swing,Prague Alchemy Swing,2027-02-19,2027-02-21,https://praguealchemyswing.cz/,2027,2,2027-02,day,wsdc_calendar,,c49284ca484a8983ae077ae6
Valentine Swing,Valentine Swing,Valentine Swing,2027-02-19,2027-02-22,http://www.valentineswing.dance,2027,2,2027-02,day,wsdc_calendar,,b38034eb233fca768a67e52d
Paris Swing Classic,Paris Swing Classic,Paris Westie Fest,2027-02-25,2027-03-01,http://Https://parisswingclassic.com,2027,3,2027-03|2027-02,day,wsdc_calendar,,3760aeff8a051bdb04ac6337
Rose City Swing,Rose City Swing,Rose City Swing,2027-02-25,2027-02-28,https://rosecityswing.com,2027,2,2027-02,day,wsdc_calendar,,4f69295ab8d7604e6cf80d04
Southern Lights Swing,Southern Lights Swing,Southern Lights Swing,2027-02-25,2027-02-28,http://www.southernlightsswing.com.au,2027,2,2027-02,day,wsdc_calendar,,0c198929a933851cbd90fd14
Winter Coast Swing,Winter Coast Swing,Winter Coast Swing,2027-02-25,2027-02-28,https://www.wintercoastswing.com,2027,2,2027-02,day,wsdc_calendar,,7b3d6fff92c0354d3876aa80
New York Flow Festival,New York Flow Festival,New York Flow Festival,2027-02-26,,https://www.flowfest.nyc,2027,2,2027-02,day_start_only,wsdc_calendar,invalid_end,46bf56ad183180f8570e88f4
