dancer_id,role,dance,level,total_points,update_date
20137,Leader,West Coast Swing,Sophisticated,11,2024-10-30
20139,Follower,West Coast Swing,Intermediate,30,2024-10-23
20139,Follower,West Coast Swing,Intermediate,38,2024-10-30
20147,Leader,West Coast Swing,Intermediate,24,2024-10-23
20147,Leader,West Coast Swing,Intermediate,25,2024-10-30
20158,Follower,West Coast Swing,Novice,10,2024-10-23
20158,Follower,West Coast Swing,Novice,12,2024-10-30
20165,Follower,West Coast Swing,Advanced,17,2024-10-23
20165,Follower,West Coast Swing,Advanced,18,2024-10-30
20167,Leader,West Coast Swing,Intermediate,13,2024-10-23
20167,Leader,West Coast Swing,Intermediate,14,2024-10-30
20169,Follower,West Coast Swing,Advanced,26,2024-10-23
20169,Follower,West Coast Swing,Advanced,27,2024-10-30
20209,Leader,West Coast Swing,Advanced,17,2024-10-23
20209,Leader,West Coast Swing,Advanced,18,2024-10-30
20259,Follower,West Coast Swing,Advanced,55,2024-10-23
20259,Follower,West Coast Swing,Advanced,56,2024-10-30
20391,Leader,West Coast Swing,Novice,3,2024-10-23
20391,Leader,West Coast Swing,Novice,4,2024-10-30
20438,Follower,West Coast Swing,Novice,3,2024-10-23
20438,Follower,West Coast Swing,Novice,23,2024-10-30
20441,Follower,West Coast Swing,Intermediate,1,2024-10-23
20441,Follower,West Coast Swing,Intermediate,2,2024-10-30
20474,Follower,West Coast Swing,Advanced,12,2024-10-23
20474,Follower,West Coast Swing,Advanced,20,2024-10-30
20511,Leader,West Coast Swing,All-Star,66,2024-10-23
20511,Leader,West Coast Swing,All-Star,67,2024-10-30
20512,Leader,West Coast Swing,All-Star,111,2024-10-23
20512,Leader,West Coast Swing,All-Star,114,2024-10-30
20521,Leader,West Coast Swing,Intermediate,17,2024-10-23
20521,Leader,West Coast Swing,Intermediate,18,2024-10-30
20522,Leader,West Coast Swing,Advanced,48,2024-10-23
20522,Leader,West Coast Swing,Advanced,52,2024-10-30
20554,Leader,West Coast Swing,Novice,6,2024-10-23
20554,Leader,West Coast Swing,Novice,18,2024-10-30
20568,Follower,West Coast Swing,Advanced,26,2024-10-23
20568,Follower,West Coast Swing,Advanced,32,2024-10-30
20569,Follower,West Coast Swing,Intermediate,10,2024-10-23
20569,Follower,West Coast Swing,Intermediate,16,2024-10-30
20583,Leader,West Coast Swing,Intermediate,1,2024-10-30
20585,Leader,West Coast Swing,Advanced,57,2024-10-23
20585,Leader,West Coast Swing,Advanced,58,2024-10-30
20595,Follower,West Coast Swing,Novice,4,2024-10-23
20595,Follower,West Coast Swing,Novice,5,2024-10-30
20616,Leader,West Coast Swing,Novice,12,2024-10-23
20616,Leader,West Coast Swing,Novice,13,2024-10-30
20636,Follower,West Coast Swing,Novice,8,2024-10-23
20636,Follower,West Coast Swing,Novice,10,2024-10-30
20676,Leader,West Coast Swing,Novice,5,2024-10-23
20676,Leader,West Coast Swing,Novice,6,2024-10-30
20678,Follower,West Coast Swing,Intermediate,13,2024-10-23
20678,Follower,West Coast Swing,Intermediate,14,2024-10-30
20700,Follower,West Coast Swing,All-Star,92,2024-10-23
20700,Follower,West Coast Swing,All-Star,100,2024-10-30
20733,Leader,West Coast Swing,Novice,26,2024-10-23
20733,Leader,West Coast Swing,Novice,34,2024-10-30
